organization
""
AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
"AS1930 Fundacao para a Ciencia e a Tecnologia, I.P."
AS32934 FACEBOOK
AS54113 FASTLY
AS63949 Akamai Connected Cloud
AS15169 GOOGLE
AS3243 Servicos De Comunicacoes E Multimedia S.A.
AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
"AS2860 Nos Comunicacoes, S.A."
AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.
AS16509 AMAZON-02
AS28604 Globo Comunicacao e Participacoes SA
AS31898 ORACLE-BMC-31898
AS14907 WIKIMEDIA
AS29789 REFLECTED
AS13335 CLOUDFLARENET
AS46652 SERVERSTACK-ASN
AS13414 TWITTER
AS15525 Servicos De Comunicacoes E Multimedia S.A.
AS14061 DIGITALOCEAN-ASN
AS24768 Almouroltec Servicos De Informatica E Internet Lda
AS8070 MICROSOFT-CORP-MSN-AS-BLOCK
AS7018 ATT-INTERNET4
AS22612 NAMECHEAP-NET
AS16625 AKAMAI-AS
AS19551 INCAPSULA
AS20940 Akamai International B.V.
AS7224 AMAZON-AS
AS62785 AMAZON-FC
AS396982 GOOGLE-CLOUD-PLATFORM
AS14618 AMAZON-AES
AS63179 TWITTER
AS54115 FACEBOOK-CORP
AS36459 GITHUB
AS6167 CELLCO-PART
AS8987 Amazon Data Services Ireland Ltd
AS35995 TWITTER
AS43515 Google Ireland Limited
AS62540 DRAKE-AS
AS63194 CRASH
AS8069 MICROSOFT-CORP-MSN-AS-BLOCK
